trip_id,driver_id,stop_id,date,day_of_week,week_number,visit_hour,is_weekend,is_morning,is_afternoon,is_rush_hour,stop_sequence,stop_position_norm,daily_stop_count,daily_total_distance_km,area_density,driver_avg_speed_inferred,driver_avg_daily_visits,driver_avg_efficiency,store_visit_count,store_avg_duration,priority_encoded,latitude,longitude,traffic_category,traffic_multiplier,route_efficiency_score
T00001,D01,S005,2025-09-01,0,36,10,0,1,0,0,0,0.0,4,65.67142275380607,2,40.42638036809816,6.736196319018405,0.6140407975460123,52,29.826923076923077,3,17.436781,78.346868,1,1.3,0.7793
T00002,D01,S057,2025-09-01,0,36,10,0,1,0,0,1,0.25,4,65.67142275380607,1,40.42638036809816,6.736196319018405,0.6140407975460123,57,27.789473684210527,3,17.250451,78.446464,1,1.3,0.8336
T00003,D01,S045,2025-09-01,0,36,10,0,1,0,0,2,0.5,4,65.67142275380607,2,40.42638036809816,6.736196319018405,0.6140407975460123,67,26.955223880597014,3,17.422425,78.358029,0,1.0,0.712
T00004,D01,S058,2025-09-01,0,36,10,0,1,0,0,3,0.75,4,65.67142275380607,1,40.42638036809816,6.736196319018405,0.6140407975460123,56,26.803571428571427,1,17.410075,78.556569,2,1.8,0.4963
T00005,D01,S056,2025-09-02,1,36,14,0,0,1,0,0,0.0,5,48.0649963750266,1,40.42638036809816,6.736196319018405,0.6140407975460123,66,27.196969696969695,3,17.408604,78.340433,0,1.0,0.934
T00006,D01,S011,2025-09-02,1,36,14,0,0,1,0,1,0.2,5,48.0649963750266,1,40.42638036809816,6.736196319018405,0.6140407975460123,44,25.84090909090909,3,17.450823,78.517709,1,1.3,0.7272
T00007,D01,S052,2025-09-02,1,36,14,0,0,1,0,2,0.4,5,48.0649963750266,2,40.42638036809816,6.736196319018405,0.6140407975460123,57,25.43859649122807,1,17.357064,78.56062,1,1.3,0.588
T00008,D01,S012,2025-09-02,1,36,14,0,0,1,0,3,0.6,5,48.0649963750266,2,40.42638036809816,6.736196319018405,0.6140407975460123,74,26.256756756756758,3,17.340319,78.556827,0,1.0,0.6299
T00009,D01,S057,2025-09-02,1,36,14,0,0,1,0,4,0.8,5,48.0649963750266,1,40.42638036809816,6.736196319018405,0.6140407975460123,57,27.789473684210527,3,17.250451,78.446464,2,1.8,0.4708
T00010,D01,S056,2025-09-03,2,36,16,0,0,1,0,0,0.0,6,54.683200401994114,1,40.42638036809816,6.736196319018405,0.6140407975460123,66,27.196969696969695,3,17.408604,78.340433,1,1.3,0.8201
T00011,D01,S005,2025-09-03,2,36,16,0,0,1,0,1,0.16666666666666666,6,54.683200401994114,1,40.42638036809816,6.736196319018405,0.6140407975460123,52,29.826923076923077,3,17.436781,78.346868,0,1.0,0.7864
T00012,D01,S050,2025-09-03,2,36,16,0,0,1,0,2,0.3333333333333333,6,54.683200401994114,1,40.42638036809816,6.736196319018405,0.6140407975460123,57,26.92982456140351,3,17.441054,78.483686,0,1.0,0.7358
T00013,D01,S018,2025-09-03,2,36,16,0,0,1,0,3,0.5,6,54.683200401994114,1,40.42638036809816,6.736196319018405,0.6140407975460123,63,28.428571428571427,2,17.393739,78.577516,1,1.3,0.5309
T00014,D01,S023,2025-09-03,2,36,16,0,0,1,0,4,0.6666666666666666,6,54.683200401994114,1,40.42638036809816,6.736196319018405,0.6140407975460123,58,28.689655172413794,1,17.457331,78.388244,1,1.3,0.3961
T00015,D01,S042,2025-09-03,2,36,16,0,0,1,0,5,0.8333333333333334,6,54.683200401994114,1,40.42638036809816,6.736196319018405,0.6140407975460123,55,26.70909090909091,3,17.42152,78.406019,1,1.3,0.5644
T00016,D01,S024,2025-09-04,3,36,13,0,0,1,0,0,0.0,5,43.41352654181958,1,40.42638036809816,6.736196319018405,0.6140407975460123,72,26.555555555555557,2,17.471983,78.356486,1,1.3,0.7978
T00017,D01,S028,2025-09-04,3,36,13,0,0,1,0,1,0.2,5,43.41352654181958,1,40.42638036809816,6.736196319018405,0.6140407975460123,70,27.757142857142856,3,17.460676,78.461678,1,1.3,0.8133
T00018,D01,S005,2025-09-04,3,36,13,0,0,1,0,2,0.4,5,43.41352654181958,1,40.42638036809816,6.736196319018405,0.6140407975460123,52,29.826923076923077,3,17.436781,78.346868,1,1.3,0.6779
T00019,D01,S043,2025-09-04,3,36,13,0,0,1,0,3,0.6,5,43.41352654181958,1,40.42638036809816,6.736196319018405,0.6140407975460123,56,26.553571428571427,2,17.430977,78.371042,2,1.8,0.4807
T00020,D01,S059,2025-09-04,3,36,13,0,0,1,0,4,0.8,5,43.41352654181958,1,40.42638036809816,6.736196319018405,0.6140407975460123,75,29.013333333333332,1,17.361455,78.514531,0,1.0,0.422
